date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:49	90152/90152	---M-Z	200	added ('OK')	text/html	etag:%221467-1768030214;gz%22	https://iesits.com/portfolio/installation-and-commissioning/	G:/ies/iesits.com/portfolio/installation-and-commissioning/index.html	(from https://iesits.com/)
21:45:49	66902/66902	---MCZ	200	added ('OK')	text/html	etag:%221438-1767963805;gz%22	https://iesits.com/project-type/services/	G:/ies/iesits.com/project-type/services/index.html	(from https://iesits.com/)
21:45:50	93614/93614	---M-Z	200	added ('OK')	text/html	etag:%221480-1768061876;gz%22	https://iesits.com/portfolio/technical-support-provider/	G:/ies/iesits.com/portfolio/technical-support-provider/index.html	(from https://iesits.com/)
21:45:51	100926/100926	---M-Z	200	added ('OK')	text/html	etag:%221440-1767966882;gz%22	https://iesits.com/portfolio/service-level-agreements/	G:/ies/iesits.com/portfolio/service-level-agreements/index.html	(from https://iesits.com/)
21:45:55	105486/105486	---MCZ	200	added ('OK')	text/html	etag:%221509-1768149951;gz%22	https://iesits.com/portfolio/software-as-a-service/	G:/ies/iesits.com/portfolio/software-as-a-service/index.html	(from https://iesits.com/)
21:45:55	21573/21573	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:%221508-1768149950;gz%22	https://iesits.com/portfolio/%e2%81%a0ofc-network-design-laying/	G:/ies/iesits.com/portfolio/%e2%81%a0ofc-network-design-laying/index.html	(from https://iesits.com/)
21:45:57	124799/124799	---MCZ	200	added ('OK')	text/html	etag:%221474-1768038725;gz%22	https://iesits.com/portfolio/traffic-data-collection-tdc/	G:/ies/iesits.com/portfolio/traffic-data-collection-tdc/index.html	(from https://iesits.com/)
21:45:58	112804/112804	---M-Z	200	added ('OK')	text/html	etag:%221470-1768031210;gz%22	https://iesits.com/portfolio/toll-revenue-and-assurance-programmes/	G:/ies/iesits.com/portfolio/toll-revenue-and-assurance-programmes/index.html	(from https://iesits.com/)
21:45:59	114104/114104	---MCZ	200	added ('OK')	text/html	etag:%221424-1767950765;gz%22	https://iesits.com/portfolio/operations-and-maintenance/	G:/ies/iesits.com/portfolio/operations-and-maintenance/index.html	(from https://iesits.com/)
21:46:00	1539031/1539031	---M--	200	added ('OK')	video/mp4	etag:%22177bd7-681220e6-1dec0069115151b4;;;%22	https://iesits.com/wp-content/uploads/2025/04/WhatsApp-Video-2025-04-30-at-6.03.40-PM.mp4	G:/ies/iesits.com/wp-content/uploads/2025/04/WhatsApp-Video-2025-04-30-at-6.03.40-PM.mp4	(from https://iesits.com/)
21:46:01	8948/8948	---M--	200	added ('OK')	image/jpeg	etag:%2222f4-66f1ddf3-ccbbb9ad3bf75ef5;;;%22	https://iesits.com/wp-content/uploads/2024/09/cropped-WhatsApp-Image-2024-09-10-at-15.44.05.jpeg	G:/ies/iesits.com/wp-content/uploads/2024/09/cropped-WhatsApp-Image-2024-09-10-at-15.44.05.jpg	(from https://iesits.com/)
21:46:04	54195/54195	---MCZ	200	added ('OK')	text/html	etag:%221444-1767979696;gz%22	https://iesits.com/project-type/road-tunnel-systems/	G:/ies/iesits.com/project-type/road-tunnel-systems/index.html	(from https://iesits.com/)
21:46:04	440788/440788	---M--	200	added ('OK')	image/jpeg	etag:%226b9d4-66f07b49-ec82f563d7c1de38;;;%22	https://iesits.com/wp-content/uploads/2021/11/patrick-schneider-87oz2SoV9Ug-unsplash.jpg	G:/ies/iesits.com/wp-content/uploads/2021/11/patrick-schneider-87oz2SoV9Ug-unsplash.jpg	(from https://iesits.com/)
21:46:05	140258/140258	---M-Z	200	added ('OK')	text/html	etag:%221436-1767963579;gz%22	https://iesits.com/portfolio/intrusion-systems/	G:/ies/iesits.com/portfolio/intrusion-systems/index.html	(from https://iesits.com/)
21:46:06	57823/57823	---M-Z	200	added ('OK')	text/html	etag:%221453-1767997785;gz%22	https://iesits.com/portfolio/weather-stations/	G:/ies/iesits.com/portfolio/weather-stations/index.html	(from https://iesits.com/)
21:46:06	57874/57874	---MCZ	200	added ('OK')	text/html	etag:%221433-1767953885;gz%22	https://iesits.com/portfolio/meteorological-sensor/	G:/ies/iesits.com/portfolio/meteorological-sensor/index.html	(from https://iesits.com/)
